Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
2nd phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,13.5,5,12.8,Dropout
1st phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.285714285714286,6,12.833333333333334,Graduate
1st phase - general contingent,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,2,10.5,1,13.0,Dropout
Technological specialization diploma holders,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Unskilled workers in agriculture, animal production, fisheries and forestry","Unskilled workers in agriculture, animal production, fisheries and forestry",No,Yes,3,14.0,5,12.0,Graduate
Ordinance No. 854-B/99,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,14.2,5,12.2,Graduate
1st phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,5,13.0,6,13.142857142857142,Dropout
2nd phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,11.0,4,12.75,Graduate
Change of course,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,3,11.0,2,10.0,Dropout
2nd phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.385714285714286,8,13.755555555555556,Graduate
2nd phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,14.75,4,12.25,Graduate
1st phase - general contingent,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,16.166666666666668,5,15.833333333333334,Graduate
Over 23 years old,Management (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,5,12.4,3,13.0,Dropout
1st phase - general contingent,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,No,5,11.6,4,13.0,Dropout
2nd phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,5,12.2,0,0.0,Dropout
2nd phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,5,11.0,5,12.8,Graduate
2nd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,12.333333333333334,5,12.4,Dropout
Technological specialization diploma holders,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,14.833333333333334,6,12.571428571428571,Graduate
1st phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,12.0,6,11.833333333333334,Graduate
Change of institution/course,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Unskilled workers in extractive industry, construction, manufacturing and transport","Intermediate level technicians from legal, social, sports, cultural and similar services",Yes,Yes,11,12.727272727272728,10,12.6,Graduate
Change of course,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,2,10.5,1,11.0,Dropout
1st phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,No,Yes,6,12.333333333333334,6,12.0,Graduate
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,1,12.0,Dropout
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,7,14.842857142857143,8,14.38888888888889,Graduate
Over 23 years old,Management (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,2,11.0,1,12.0,Dropout
2nd phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Student,No,Yes,4,10.75,0,0.0,Dropout
Change of course,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,8,12.55375,8,12.55375,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,No,Yes,7,12.665714285714284,7,12.665714285714284,Graduate
Over 23 years old,Oral Hygiene,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Specialists in Intellectual and Scientific Activities,No,Yes,2,11.75,0,0.0,Dropout
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,3,11.0,0,0.0,Dropout
1st phase - special contingent (Madeira Island),Animation and Multimedia Design,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Graduate
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,5,13.4,5,12.2,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,17,12.578947368421051,17,12.117647058823527,Graduate
Over 23 years old,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,12.0,6,11.5,Graduate
2nd phase - general contingent,Advertising and Marketing Management,Higher Education - Master's,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,3,12.333333333333334,0,0.0,Dropout
Over 23 years old,Management (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",No,Yes,4,11.5,3,13.5,Dropout
Over 23 years old,Agronomy,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,5,12.8,5,13.833333333333334,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,0,0.0,0,0.0,Dropout
Technological specialization diploma holders,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,No,4,11.8,2,12.0,Dropout
Change of course,Social Service (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,6,11.333333333333334,2,13.5,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,5,12.002,5,12.002,Dropout
Holders of other higher courses,Agronomy,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Armed Forces Professions,Specialists in Intellectual and Scientific Activities,No,No,5,15.2,1,11.0,Dropout
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Yes,Yes,6,13.142857142857142,6,14.166666666666666,Graduate
Over 23 years old,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Specialists in Intellectual and Scientific Activities,No,Yes,7,13.867142857142856,7,13.867142857142856,Graduate
Over 23 years old,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.675,6,12.675,Graduate
1st phase - special contingent (Madeira Island),Animation and Multimedia Design,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Yes,Yes,6,11.0,5,12.2,Dropout
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,No,Yes,4,10.75,4,11.333333333333334,Dropout
Over 23 years old,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,5,14.2,6,14.166666666666666,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,No,4,12.6,4,11.575,Dropout
Over 23 years old,Management (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,No,0,0.0,0,0.0,Dropout
Over 23 years old,Management (evening attendance),Higher Education,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,No,Yes,5,14.0,5,14.166666666666666,Graduate
Over 23 years old,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,No,2,10.0,4,12.25,Dropout
2nd phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,13.833333333333334,6,13.125,Graduate
